  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"Total"
"0209040017 BRONCOSCOPIA (BRONCOFIBROSCOPIA)";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"0210010010 ANGIOGRAFIA CEREBRAL (4 VASOS)";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0210010045 AORTOGRAFIA ABDOMINAL";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0210010070 ARTERIOGRAFIA DE MEMBRO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0211020036 ELETROCARDIOGRAMA";1;61;206;204;199;209;78;79;71;162;258;336;451;388;350;181;136;66;25;25;2;55;111;32;28;6;-;3720
"0211030074 AVALIACAO FUNCIONAL MUSCULAR";-;1;1;-;-;-;-;-;-;-;1;2;2;4;1;1;1;-;-;-;-;5;3;-;1;-;-;23
"0211040061 TOCOCARDIOGRAFIA ANTE-PARTO";-;-;-;-;-;-;-;-;-;-;10;-;3;11;-;-;-;20;-;-;-;-;-;-;-;-;-;44
"0211050024 ELETROENCEFALOGRAFIA EM VIGILIA C/ OU S/ FOTO-ESTIMULO";-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;4;1;1;1;1;-;12
"0211050040 ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0211070084 AVALIACAO MIOFUNCIONAL DE SISTEMA ESTOMATOGNATICO";-;-;-;6;35;56;47;9;10;81;100;73;119;120;10;32;3;1;-;-;-;-;-;-;-;-;-;702
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";-;4;12;42;64;70;37;31;5;27;34;49;83;83;47;50;50;22;19;8;2;14;23;7;3;11;-;797
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";-;11;34;57;72;79;36;42;4;43;57;102;122;120;70;132;65;30;30;12;3;30;38;11;3;14;-;1217
"0214010015 GLICEMIA CAPILAR";-;3;212;314;649;517;265;45;414;1121;1267;1620;2629;2794;1622;1289;294;432;-;-;-;42;1032;289;118;-;-;16968
"0214010040 TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0214010058 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV";-;1;7;10;7;11;2;7;3;13;10;7;9;10;6;4;1;3;-;-;-;2;7;5;-;4;-;129
"0214010074 TESTE RAPIDO PARA SIFILIS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO)";6;160;683;1745;2288;2327;1192;1237;696;3359;3090;3395;6231;5252;5084;2903;2187;786;389;105;249;1297;2071;1318;476;287;28;48841
"0301010170 CONSULTA/AVALIACAO EM PACIENTE INTERNADO";9;148;721;1337;1966;2399;995;1130;625;2446;2184;2727;5581;4718;4581;2474;1754;761;543;191;215;764;1059;732;200;177;10;40447
"0301100047 CATETERISMO VESICAL DE ALIVIO";-;-;3;2;3;5;1;1;1;1;4;6;4;11;3;5;6;2;3;-;-;2;4;-;-;1;-;68
"0301100055 CATETERISMO VESICAL DE DEMORA";-;2;16;22;43;50;21;26;10;58;51;92;181;141;134;72;52;24;20;3;6;29;29;20;5;6;-;1113
"0301100063 CUIDADOS COM ESTOMAS";-;-;-;-;-;13;47;-;-;-;-;-;-;3;-;-;-;1;-;-;-;4;6;-;-;6;-;80
"0301100071 CUIDADOS C/ TRAQUEOSTOMIA";-;-;14;17;17;50;43;118;-;83;52;233;297;202;151;174;328;74;195;9;19;72;58;91;2;82;-;2381
"0301100098 ENEMA";-;-;-;2;1;1;-;-;1;-;-;2;4;5;4;3;2;-;-;-;-;2;21;-;-;-;-;48
"0301100101 INALACAO / NEBULIZACAO";-;42;61;177;92;146;46;97;141;1159;338;769;2505;2202;4652;2471;1513;515;262;85;4;71;120;251;4;15;-;17738
"0301100110 IRRIGACAO VESICAL";-;-;10;-;5;1;-;5;2;2;-;-;-;3;1;-;16;2;-;-;-;-;-;-;-;-;-;47
"0301100144 OXIGENOTERAPIA POR DIA";4;48;298;509;613;1016;185;343;206;1001;761;1292;2938;2189;2588;1293;959;404;249;80;120;312;481;221;80;39;10;18239
"0301100179 SONDAGEM GASTRICA";-;-;1;1;6;4;1;1;1;3;2;5;6;6;3;1;3;3;-;2;-;2;1;1;-;-;-;53
"0302010033 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NEONATO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;70
"0302020012 ATENDIMENTO FISIOTERAPEUTICO DE PACIENTE COM CUIDADOS PALIATIVOS";-;19;13;-;-;-;-;-;-;-;-;42;8;48;-;32;26;-;-;-;-;50;23;-;-;-;-;261
"0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS";4;366;1551;2877;4344;6693;2588;3836;1438;6331;6083;9037;15900;13860;13249;8931;7799;3100;2339;592;648;1437;1641;1009;356;433;10;116452
"0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS";-;90;314;1054;1118;521;469;310;425;1270;1111;980;1426;1372;984;790;175;189;-;136;160;100;622;197;45;2;-;13860
"0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR";-;149;631;1303;1124;928;454;415;371;861;1507;1254;1465;1810;1533;757;994;340;96;253;88;99;668;256;74;-;-;17430
"0302040048 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE PRE/POS CIRURGIA CARDIOVASCULAR";-;96;461;695;639;563;148;250;117;202;1015;873;891;1279;1296;413;1222;371;160;399;141;130;450;225;94;-;-;12130
"0302050035 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO- ESQUE";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;7;2;8;13;4;5;5;-;59
"0302060014 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS SEM COMPLICAC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0302060022 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS COM COMPLICAC";-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;28;163;359;673;993;609;251;380;10;3496
"0302060057 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS-OPERATORIO DE NEUROCIRURGIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19";4;30;126;141;246;274;89;96;95;304;275;338;586;555;522;250;142;59;30;22;20;120;134;50;21;15;1;4545
"0305010042 HEMODIALISE CONTINUA";-;6;3;3;9;24;-;-;6;-;11;53;39;35;31;27;50;1;-;-;-;-;3;-;-;-;-;301
"0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO";-;2;62;87;121;101;35;43;26;93;77;80;301;233;131;78;44;22;38;2;-;41;45;27;2;21;-;1712
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";-;9;14;46;59;97;38;43;6;42;49;83;116;115;63;90;60;32;30;12;3;28;22;20;3;14;-;1094
"0306020076 TRANSFUSAO DE CONCENTRADO DE PLAQUETAS";-;-;8;20;2;68;-;5;-;-;7;24;13;25;18;48;8;7;-;7;-;-;13;-;-;8;-;281
"0306020084 TRANSFUSAO DE CRIOPRECIPITADO";-;-;8;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"0306020092 TRANSFUSAO DE PLAQUETAS POR AFERESE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"0306020106 TRANSFUSAO DE PLASMA FRESCO";-;-;5;16;18;26;-;2;-;5;10;21;10;11;8;4;10;6;-;-;1;3;-;-;6;3;-;165
"0309010047 NUTRICAO ENTERAL EM ADULTO";-;54;348;505;773;1098;443;577;155;915;950;1525;2376;1928;1498;974;1155;451;334;100;90;288;298;232;42;99;-;17208
"0309010071 NUTRICAO PARENTERAL EM ADULTO";-;-;-;-;-;7;-;8;-;-;-;-;-;-;-;7;-;-;-;-;-;-;6;-;-;-;-;28
"0309010101 PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)";-;11;36;40;76;91;28;41;19;73;86;117;207;204;145;73;65;27;15;11;7;31;39;19;6;5;-;1472
"0309040027 CARDIOVERSAO ELETRICA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0309060036 INSTALACAO DE CATETER MONO LUMEN POR PUNCAO";-;1;2;6;7;12;-;1;1;1;5;11;6;11;9;4;4;2;1;2;-;1;3;-;-;-;-;90
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";-;-;10;96;59;58;30;31;10;69;32;59;100;82;1;4;-;7;-;-;-;-;28;3;-;-;-;679
"0401010023 CURATIVO GRAU I COM OU SEM DEBRIDAMENTO";-;-;1;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"0407010254 RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0407040196 PARACENTESE ABDOMINAL";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0412010127 TRAQUEOSTOMIA COM COLOCACAO DE ORTESE TRAQUEAL OU TRAQUEOBRONQUICA";-;-;1;5;4;5;6;7;-;6;8;18;31;25;13;15;23;9;6;2;2;5;3;6;2;1;-;203
"0412030128 RETIRADA DE DRENO TUBULAR TORACICO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"0412050170 TORACOCENTESE/DRENAGEM DE PLEURA";-;-;1;-;-;6;1;3;-;2;6;6;5;7;1;1;1;1;1;-;-;2;14;1;3;-;-;62
"0603070019 ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)";-;-;25;-;-;10;-;-;-;-;12;-;27;-;-;-;-;-;-;4;-;-;4;-;-;-;-;82
"0702050814 CATETER VENOSO CENTRAL MONO LUMEN";-;1;2;6;7;12;-;1;1;1;5;11;6;11;9;4;4;2;1;2;-;1;3;-;-;-;-;90
"0802010016 DIARIA DE ACOMPANHANTE ADULTO (COM PERNOITE)";-;-;-;-;-;-;-;-;-;12;2;5;-;2;-;3;1;35;-;-;2;-;-;2;-;-;-;64
"0802010024 DIARIA DE ACOMPANHANTE CRIANCA/ADOLESCENTE C/PERNOITE";-;-;21;22;6;-;26;-;-;-;4;1;9;21;21;10;-;-;-;7;16;10;5;28;-;5;-;212
"0802010040 DIARIA DE ACOMPANHANTE DE IDOSOS C/ PERNOITE";2;18;11;83;38;38;-;12;-;31;27;31;39;23;-;11;49;14;39;19;24;198;237;112;25;18;2;1101
"0802010083 DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI II)";1;56;264;424;421;305;185;229;6;344;352;643;948;748;392;179;461;142;65;36;-;222;337;197;23;44;-;7024
"0802010091 DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI III)";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"0802010113 DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE QUEIMADOS";-;-;-;-;-;-;-;-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"0802010121 DIARIA DE UNIDADE DE TERAPIA INTENSIVA NEONATAL - UTIN (TIPO II)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;15
"0802010156 DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI II)";-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;7;-;-;-;11
"0802010199 DIARIA DE PERMANENCIA A MAIOR";-;-;6;93;75;87;57;22;24;100;221;97;457;441;751;404;134;117;45;13;31;65;135;110;29;15;-;3529
"0802010296 DIARIA DE UTI II ADULTO - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID19";-;18;148;170;440;241;65;42;55;323;345;403;549;542;400;305;145;102;12;37;30;28;107;6;9;-;-;4522
"0802010300 DIARIA UTI II PEDIATRICA - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;5;-;5;79;4;-;-;-;97
"0802010318 DIARIA DE LEITO DE SUPORTE VENTILATORIO PULMONAR";-;-;-;-;-;-;-;82;121;562;197;109;292;332;233;386;318;184;207;51;86;-;31;47;-;-;-;3238
"Total";83;3774;17675;27820;30659;40688;16635;19201;9790;41606;42882;56549;94848;88889;77053;42332;39958;14421;10811;4520;4780;15208;21540;12718;4127;3903;111;742581
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
